"pid" "gender" "age" "Weight1" "Weight2" "Weight3" "time_az" "interests" "identity_AZ" "identity_US" "needs_met" "rep_ideo" "dem_ideo" "covid_affected" "covid_finance" "wear_mask" "public_mask" "k12" "college" "trump_covid" "ducey_covid" "mayor_covid" "border_wall" "imm_citizenship" "imm_hurt_az" "imm_hurt_culture" "oppose_race_protests" "interact_law" "positive_law" "registered" "plan_to_vote_pres" "vote_pres" "plan_to_vote_senate" "vote_senate" "rep_ft" "dem_ft" "rep_ft_people" "dem_ft_people" "conservative" "hispanic" "race" "christian" "income" "children"
"1" 1 1 1 6.08 5.78 14.99 "More than 10 Years" 4 1 1 3 3 4 1 1 1 1 1 1 5 2 1 4 1 2 2 2 5 1 1 1 1 1 1 0 99 0 100 1 1 1 1 1 0
"2" 2 1 1 0.87 5.78 4.1 "More than 10 Years" 3 1 1 3 3 3 2 1 1 1 3 1 1 5 5 3 3 3 3 3 4 1 0 3 5 3 3 100 0 50 50 3 0 1 2 1 0
"3" 2 1 1 0.87 5.78 4.1 "More than 10 Years" 2 1 2 3 3 4 2 3 1 1 2 1 5 2 2 3 5 2 5 3 5 1 1 5 3 5 3 0 0 0 0 3 0 1 5 1 0
"4" 1 1 1 6.08 5.78 14.99 "More than 10 Years" 2 1 2 2 3 4 2 1 1 1 1 1 5 5 5 5 1 1 1 1 5 1 1 1 2 2 2 60 80 40 80 3 1 1 5 1 0
"5" 1 1 1 0.87 5.78 4.1 "More than 10 Years" 3 4 3 3 3 3 2 3 1 4 4 4 3 3 3 4 3 4 3 4 5 3 1 3 3 3 3 50 50 50 50 3 0 1 6 1 0
"6" 2 1 1 0.87 5.78 4.1 "More than 10 Years" 1 4 4 3 3 2 1 3 1 1 4 4 5 3 3 5 3 1 1 1 4 3 0 1 1 3 3 7 70 70 79 3 0 1 6 1 0
"7" 1 1 1 1.56 5.78 3.4 "More than 10 Years" 4 4 4 3 2 5 2 3 1 3 2 3 5 2 4 3 4 2 3 2 5 3 1 1 2 2 2 67 55 34 61 1 0 2 6 1 0
"8" 2 1 1 0.76 5.78 1.54 "<5 years" 5 7 7 3 3 3 3 3 5 3 5 3 3 3 3 3 3 4 3 3 3 4 0 5 3 3 4 19 26 78 68 3 0 3 6 1 0
"9" 1 1 1 6.86 5.78 37.42 "More than 10 Years" 1 2 1 3 1 4 1 1 1 1 2 2 5 5 4 5 1 1 1 2 4 2 1 1 1 2 2 20 80 20 80 2 1 5 6 1 0
"10" 1 1 1 0.57 5.78 2.72 "More than 10 Years" 4 4 6 4 2 5 2 1 1 1 1 1 5 5 3 5 1 1 1 1 5 2 1 1 1 2 1 0 70 0 90 1 0 1 6 2 0
"11" 1 1 1 0.49 5.78 1.02 "More than 10 Years" 1 2 4 3 3 3 2 3 1 1 3 3 5 5 3 3 2 3 3 3 5 1 1 1 1 3 3 0 60 10 70 2 0 3 6 2 0
"12" 2 1 1 0.64 5.78 6.8 "<5 years" 3 4 1 3 3 3 3 1 4 5 4 5 4 4 4 4 2 3 3 5 5 1 0 5 3 3 3 50 50 50 50 3 0 5 6 2 0
"13" 1 1 1 0.88 5.78 8.37 "<5 years" 5 7 7 5 5 5 3 3 5 5 5 5 5 5 4 2 5 4 5 3 5 5 0 5 4 5 5 2 3 4 2 5 0 5 6 4 0
"14" 1 1 1 6.08 5.78 14.99 "More than 10 Years" 4 3 3 3 3 4 2 3 1 1 2 2 3 3 3 5 2 2 3 1 5 3 0 4 3 4 3 35 75 32 65 3 1 1 1 1 1
"15" 1 1 1 5.28 5.78 5.61 "More than 10 Years" 5 7 1 1 2 3 1 3 2 2 2 2 2 4 3 2 4 2 1 4 5 4 0 5 1 1 2 1 100 0 100 1 1 3 1 1 1
"16" 2 1 1 0.87 5.78 4.1 "5-10 years" 1 1 1 4 3 3 2 3 1 1 4 4 3 3 2 4 3 4 4 3 5 1 0 4 3 4 3 1 0 1 0 2 0 1 2 1 1
"17" 1 1 1 0.76 5.78 1.54 "More than 10 Years" 2 4 5 4 1 4 2 1 1 1 1 1 5 5 5 5 1 1 1 1 5 3 1 1 1 2 3 0 20 0 20 3 0 3 2 1 1
"18" 1 1 1 0.87 5.78 4.1 "5-10 years" 1 1 2 2 3 3 2 3 1 2 3 2 3 2 3 3 2 2 2 1 3 2 1 1 1 1 1 50 50 50 50 3 0 1 5 1 1
"19" 2 1 1 1.56 5.78 3.4 "<5 years" 4 4 1 3 3 3 2 3 1 5 1 2 5 5 3 3 1 3 3 2 3 5 0 5 3 3 6 17 17 100 100 3 0 2 5 1 1
"20" 2 1 1 0.87 5.78 4.1 "More than 10 Years" 3 1 1 4 3 5 2 3 2 5 5 4 4 5 4 4 3 3 1 5 3 2 0 5 3 3 3 50 25 75 25 1 0 1 6 1 1
"21" 2 1 1 0.87 5.78 4.1 "5-10 years" 3 4 1 3 3 3 2 3 1 3 5 3 5 3 3 5 5 5 5 3 5 3 1 3 3 3 3 0 0 0 0 3 0 1 6 1 1
