"","pid3","authoritarianism","violent","burn","court","recount","criticize","VIOLENT","SM"
"1","Democrat",0,5,4,4,4,4,0,0
"2","Republican",0.5,3,3,4,4,3,1,1
"3","Independent",1,2,1,1,1,4,1,1
"4",NA,0,5,3,3,5,3,0,0
"5",NA,0,4,3,3,4,3,0,0
"6","Independent",1,2,2,2,4,2,1,1
"7","Republican",0.75,2,2,3,3,3,1,1
"8","Democrat",0.25,2,1,1,3,1,0,0
"9","Democrat",1,3,2,1,3,3,0,1
"10","Independent",0.5,2,1,3,5,5,0,0
"11","Independent",0.75,1,1,3,4,3,1,1
"12","Republican",0.5,3,1,2,4,3,0,0
"13","Independent",0.25,1,1,2,4,3,0,0
"14","Republican",0.5,1,1,3,3,3,1,0
"15","Democrat",0,5,4,5,5,3,0,0
"16","Republican",0.75,1,1,1,4,4,0,0
"17","Republican",0,2,1,3,4,3,1,1
"18","Republican",0.25,1,1,1,4,3,1,1
"19",NA,0.5,3,3,3,3,3,0,0
"20","Independent",0.75,1,1,1,4,1,1,0
"21","Republican",0,5,5,5,5,3,0,0
"22","Democrat",0.75,1,1,1,3,1,1,1
"23","Independent",0.25,2,1,3,4,3,1,1
"24","Republican",1,3,1,1,4,5,0,0
"25","Independent",0.25,1,1,5,5,4,1,0
"26","Republican",0.75,3,2,4,2,2,0,1
"27","Republican",0.25,3,3,4,4,3,0,0
"28","Republican",0.5,1,1,2,4,3,0,0
"29","Democrat",0.5,4,3,4,4,3,1,1
"30","Republican",0.25,4,3,2,4,3,1,1
"31","Democrat",0,5,3,4,4,4,1,0
"32","Republican",0,5,4,4,4,1,1,0
"33","Independent",0.75,1,1,1,1,1,1,0
"34",NA,0,5,4,3,4,3,0,1
"35","Democrat",1,3,1,4,4,3,0,0
"36","Republican",0.25,4,3,3,4,2,0,0
"37","Democrat",0.5,3,1,2,4,3,0,1
"38","Independent",0.75,3,1,1,3,3,0,0
"39","Republican",0.5,3,1,2,3,3,0,0
"40","Republican",1,4,2,2,5,1,0,1
"41","Independent",0.75,1,1,3,3,3,1,1
"42","Republican",0.75,5,2,1,2,3,0,0
"43","Democrat",0.25,2,2,1,3,2,1,0
"44","Democrat",0.5,3,1,3,4,2,1,0
"45","Democrat",1,1,1,1,3,3,1,0
"46","Democrat",0.75,2,2,2,4,2,0,1
"47","Independent",0.25,3,1,3,4,4,0,1
"48","Independent",0.25,2,1,3,4,3,0,1
"49","Democrat",0.25,2,3,4,4,4,1,1
"50","Democrat",0,3,1,4,5,3,1,1
"51","Democrat",0.25,4,4,5,4,5,1,0
"52","Republican",0.5,4,3,2,4,2,0,1
"53","Democrat",0,3,2,3,4,3,0,0
"54","Democrat",0.5,5,3,3,4,2,0,1
"55","Independent",1,3,1,2,5,4,1,1
"56","Democrat",0,5,4,1,4,1,0,0
"57","Independent",0.5,2,1,1,2,4,1,0
"58","Democrat",0,5,2,3,3,2,1,0
"59","Independent",0.25,2,1,2,4,2,1,0
"60",NA,0,4,3,2,4,3,1,0
"61","Republican",0.25,4,2,2,4,3,1,1
"62","Independent",0.75,1,1,1,5,1,0,1
"63","Democrat",0,4,2,3,4,2,0,1
"64","Democrat",0.25,1,2,2,4,1,0,0
"65","Independent",0.5,2,1,1,4,3,0,1
"66","Democrat",0,4,3,5,4,2,0,0
"67",NA,0.25,3,3,3,3,3,1,1
"68",NA,1,3,3,3,3,3,1,1
"69","Democrat",0.75,3,1,2,4,3,0,1
"70","Democrat",0.5,2,1,4,4,1,1,1
"71","Independent",1,3,1,2,3,3,0,0
"72","Independent",0.25,2,1,2,4,2,0,0
"73","Independent",0,1,1,3,4,1,1,1
"74",NA,0.5,2,1,3,3,2,1,1
"75","Democrat",0,4,3,5,5,4,1,1
"76","Democrat",0,5,5,4,5,3,1,1
"77","Republican",0.5,3,1,2,3,3,1,1
"78","Republican",0.5,3,1,2,2,2,0,0
"79","Independent",0.75,4,1,4,5,3,1,1
"80","Republican",0,3,4,4,4,3,1,0
"81","Democrat",0,5,3,2,4,3,0,0
"82","Democrat",0.25,1,1,1,5,4,1,0
"83","Independent",1,1,1,1,5,2,1,0
"84","Republican",0.25,1,1,3,5,5,1,0
"85","Democrat",0,4,2,3,4,4,1,0
"86","Independent",1,1,1,3,5,1,1,1
"87","Republican",0.25,4,3,4,4,1,1,1
"88","Independent",0.25,2,1,3,3,3,1,1
"89","Republican",0.25,1,1,4,3,3,1,0
"90","Independent",0.75,2,1,2,3,3,1,1
"91","Democrat",0.25,4,3,5,5,2,1,1
"92","Republican",0.5,2,1,2,2,3,1,1
"93","Republican",0.25,1,1,1,3,3,0,0
"94","Democrat",0,5,3,3,5,1,0,0
"95","Independent",0.5,1,1,3,5,4,0,0
"96","Democrat",0,5,5,3,3,2,1,0
"97","Independent",0.25,2,1,1,4,2,0,1
"98","Democrat",0.25,5,3,5,5,4,0,1
"99","Independent",1,1,1,2,3,3,0,0
"100","Democrat",0,5,5,3,5,1,1,0
"101","Democrat",0,2,3,4,4,4,1,1
"102","Democrat",0.25,2,1,1,3,3,0,0
"103","Democrat",0,4,5,5,5,2,1,1
"104","Republican",0,1,1,3,1,5,1,1
"105","Democrat",0.25,2,2,2,3,2,1,0
"106","Republican",0,5,2,4,4,2,1,0
"107","Democrat",0.5,3,1,3,3,3,0,1
"108","Republican",0.5,4,1,3,4,4,0,0
"109","Independent",0.5,1,1,2,3,3,1,1
"110","Democrat",0,5,1,4,4,1,1,1
"111","Democrat",0,5,4,3,3,1,0,0
"112","Independent",1,1,1,1,2,3,0,0
"113","Independent",0.75,3,2,2,4,4,0,1
"114","Democrat",0.25,4,1,4,5,3,0,0
"115","Democrat",0.25,3,3,3,4,1,0,1
"116","Democrat",0,4,5,3,3,4,0,1
"117","Independent",1,2,1,3,4,3,0,0
"118","Democrat",0,5,3,3,3,1,0,0
"119","Democrat",0.5,2,2,2,4,3,0,0
"120","Republican",0.5,5,1,4,5,5,0,1
"121","Republican",0.75,3,1,4,4,3,1,1
"122","Independent",0.25,2,1,3,5,2,1,1
"123","Republican",0.75,2,1,3,4,2,1,1
"124","Republican",0.25,1,1,3,3,3,1,0
"125","Independent",0.5,1,1,2,2,2,0,0
"126","Democrat",0.25,4,1,2,4,2,0,0
"127","Republican",0.25,4,1,4,4,1,1,1
"128","Republican",0,3,2,3,4,3,1,1
"129",NA,0,4,2,4,4,4,0,0
"130",NA,0.25,3,1,4,5,1,0,1
"131","Independent",0.75,1,1,3,3,3,0,1
"132","Democrat",0,5,3,5,5,3,0,1
"133","Republican",0.5,1,1,3,3,3,1,1
"134","Independent",0.75,1,1,4,4,3,1,0
"135","Independent",0,4,1,4,4,4,0,1
